Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2,2,1984-10-28,24-263,SEA,,PHO,L (-15),0,13:00,2,2,1.0,0,0,,0,0,,3,0,3,0,0,0,1,3,4,3.3,
3,3,1984-10-30,24-265,SEA,@,POR,L (-32),0,14:00,1,3,0.333,0,0,,0,0,,0,2,2,0,0,0,2,1,2,-1.5,
4,4,1984-11-01,24-267,SEA,,LAL,W (+2),0,1:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,
5,5,1984-11-08,24-274,SEA,@,HOU,L (-10),0,12:00,1,1,1.0,0,0,,0,0,,0,2,2,4,0,0,3,2,2,1.3,
6,6,1984-11-10,24-276,SEA,@,DAL,L (-4),0,30:00,1,2,0.5,0,0,,3,4,0.75,3,2,5,3,1,1,2,4,5,6.5,
1,1,1986-11-02,26-267,CLE,,CHI,L (-5),0,7:00,1,1,1.0,0,0,,1,1,1.0,0,0,0,0,0,1,0,0,3,3.4,
2,2,1986-11-05,26-270,CLE,@,UTA,L (-16),0,6:00,1,1,1.0,0,0,,0,0,,0,1,1,1,0,0,3,0,2,-0.3,
3,3,1986-11-07,26-272,CLE,@,GSW,W (+1),0,21:00,1,2,0.5,0,0,,4,5,0.8,2,5,7,2,1,0,0,2,6,9.1,
4,4,1986-11-08,26-273,CLE,@,LAC,W (+7),0,19:00,2,3,0.667,0,0,,0,0,,0,3,3,4,1,0,2,4,4,3.8,
5,5,1986-11-11,26-276,CLE,@,SAC,L (-5),0,16:00,3,6,0.5,0,0,,3,4,0.75,1,4,5,2,0,0,5,2,9,3.1,
6,6,1986-11-13,26-278,CLE,@,SAS,L (-13),0,13:00,0,1,0.0,0,0,,2,4,0.5,0,4,4,2,1,0,0,4,2,2.5,
7,7,1986-11-15,26-280,CLE,@,DAL,L (-15),0,5:00,0,1,0.0,0,0,,0,2,0.0,0,2,2,1,0,0,1,1,0,-1.6,
8,8,1986-11-16,26-281,CLE,@,HOU,L (-28),0,18:00,2,4,0.5,0,0,,0,0,,1,4,5,1,1,1,3,1,4,2.9,
9,9,1986-11-19,26-284,CLE,,GSW,L (-8),0,9:00,0,2,0.0,0,0,,1,2,0.5,1,0,1,0,0,0,0,0,1,-0.1,
10,10,1986-11-20,26-285,CLE,@,ATL,L (-19),1,16:00,0,0,,0,0,,0,0,,1,3,4,1,0,0,0,2,0,1.5,
11,11,1986-11-22,26-287,CLE,@,DET,L (-9),1,32:00,5,13,0.385,0,0,,0,2,0.0,4,2,6,2,4,1,1,1,10,10.2,
12,12,1986-12-09,26-304,CLE,,ATL,L (-24),0,7:00,0,1,0.0,0,0,,0,0,,0,1,1,0,0,1,1,1,0,-1.1,
13,13,1986-12-11,26-306,CLE,@,IND,L (-21),0,10:00,0,1,0.0,0,0,,2,4,0.5,0,2,2,0,0,0,2,3,2,-2.1,
14,14,1986-12-26,26-321,CLE,,NJN,W (+9),0,16:00,2,6,0.333,0,0,,0,0,,3,1,4,1,0,0,2,0,4,1.7,
15,15,1986-12-27,26-322,CLE,@,NJN,L (-9),0,5:00,0,0,,0,0,,1,4,0.25,1,0,1,0,0,0,0,1,1,0.1,
16,16,1986-12-30,26-325,CLE,@,IND,L (-12),0,24:00,5,7,0.714,0,0,,1,1,1.0,0,3,3,2,0,0,0,1,11,10.0,
17,17,1987-01-02,26-328,CLE,,MIL,L (-7),0,8:00,2,3,0.667,0,0,,0,2,0.0,1,2,3,0,0,0,0,0,4,3.2,
18,18,1987-01-10,26-336,CLE,@,ATL,L (-25),0,12:00,1,3,0.333,0,0,,3,4,0.75,0,0,0,1,0,0,1,1,5,2.2,
19,19,1987-01-13,26-339,CLE,,DET,L (-2),0,6:00,1,2,0.5,0,0,,0,2,0.0,1,0,1,0,0,0,1,1,2,-0.5,
20,20,1987-01-14,26-340,CLE,@,DET,L (-17),0,7:00,2,2,1.0,0,0,,0,0,,1,1,2,0,0,0,0,1,4,4.0,
21,21,1987-01-24,26-350,CLE,,CHI,W (+30),0,4:00,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,1,0,2,0.7,
22,22,1987-01-28,26-354,CLE,@,PHI,L (-2),0,8:00,1,2,0.5,0,0,,0,0,,0,0,0,2,0,0,0,1,2,2.0,
23,23,1987-01-29,26-355,CLE,,ATL,W (+11),0,2:00,0,0,,0,0,,2,4,0.5,0,0,0,0,0,0,0,0,2,1.2,
24,24,1987-02-05,26-362,CLE,@,WSB,L (-9),0,8:00,0,3,0.0,0,0,,0,0,,2,1,3,1,1,0,1,1,0,-0.1,
