Game of season,Game for player,Date,Age (days),Team,Home/Away,Opp,Win/Loss,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1993-11-06,8459,LAL,A,SEA,L (-28),0,15:00,3,6,.500,0,0,,0,0,,0,2,2,2,1,0,0,1,6,5.6,
2,2,1993-11-10,8463,LAL,A,SAC,L (-11),0,1:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,
3,3,1993-11-12,8465,LAL,H,DEN,L (-29),0,6:00,2,3,.667,0,0,,3,3,1.000,1,0,1,1,0,0,0,0,7,7.1,
4,4,1993-11-18,8471,LAL,A,GSW,L (-27),0,17:00,1,5,.200,0,0,,4,6,.667,2,2,4,0,0,0,1,2,6,2.3,
5,5,1993-11-23,8476,LAL,A,ATL,L (-9),0,12:00,4,6,.667,0,0,,0,0,,4,2,6,1,0,0,0,0,8,9.5,
6,6,1993-11-24,8477,LAL,A,CHH,L (-17),0,23:00,5,10,.500,0,0,,1,4,.250,2,2,4,0,0,0,0,2,11,6.0,
7,7,1993-11-27,8480,LAL,A,MIN,W (+4),0,3:00,0,1,.000,0,0,,0,0,,1,0,1,1,1,0,0,3,0,0.5,
8,8,1993-12-01,8484,LAL,H,DAL,W (+33),0,18:00,7,8,.875,0,0,,2,2,1.000,2,0,2,2,0,0,0,1,16,15.6,
9,9,1993-12-04,8487,LAL,A,LAC,W (+7),0,3:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,1,2,1.3,
10,10,1993-12-07,8490,LAL,H,NYK,L (-14),0,5:00,1,3,.333,0,0,,2,4,.500,0,0,0,0,0,0,0,0,4,1.5,
11,11,1993-12-10,8493,LAL,A,POR,L (-18),0,7:00,1,2,.500,0,0,,0,0,,0,0,0,0,2,0,1,0,2,2.0,
12,12,1993-12-12,8495,LAL,H,GSW,L (-3),0,5:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,3,0,-1.2,
13,13,1993-12-16,8499,LAL,A,NYK,L (-23),0,4:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,
14,14,1993-12-17,8500,LAL,A,PHI,L (-11),0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-0.4,
15,15,1993-12-19,8502,LAL,A,CLE,L (-30),0,14:00,3,4,.750,0,0,,0,2,.000,2,2,4,0,0,0,1,0,6,4.6,
16,16,1993-12-23,8506,LAL,A,MIA,L (-17),0,3:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
17,17,1993-12-26,8509,LAL,H,HOU,L (-25),0,7:00,0,1,.000,0,0,,0,0,,2,1,3,0,0,0,1,0,0,0.0,
18,18,1994-01-02,8516,LAL,A,SAS,L (-2),0,10:00,1,4,.250,0,0,,0,0,,0,2,2,0,0,0,0,0,2,0.2,
19,19,1994-01-04,8518,LAL,A,DEN,W (+1),0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
20,20,1994-01-05,8519,LAL,A,SAC,L (-8),0,17:00,3,6,.500,0,0,,0,0,,5,4,9,0,1,1,2,3,6,6.2,
21,21,1994-01-07,8521,LAL,H,LAC,W (+3),0,7:00,2,2,1.000,0,0,,1,2,.500,0,0,0,1,0,0,0,1,5,4.3,
22,22,1994-01-09,8523,LAL,H,SAS,L (-6),0,22:00,3,5,.600,0,0,,4,6,.667,2,3,5,0,3,0,0,2,10,11.4,
23,23,1994-01-11,8525,LAL,H,GSW,L (-5),1,21:00,3,4,.750,0,0,,0,2,.000,3,5,8,2,0,1,0,6,6,6.9,
24,24,1994-01-14,8528,LAL,H,CHH,L (-8),1,40:00,11,13,.846,0,0,,2,2,1.000,3,7,10,1,1,1,1,5,24,22.9,
25,25,1994-01-18,8532,LAL,A,SEA,L (-15),1,34:00,6,14,.429,0,0,,2,2,1.000,6,3,9,2,7,0,5,4,14,13.5,
26,26,1994-01-20,8534,LAL,H,PHO,W (+5),1,28:00,7,11,.636,0,0,,3,5,.600,3,4,7,6,4,2,1,4,17,21.6,
27,27,1994-01-21,8535,LAL,A,POR,L (-18),1,31:00,4,8,.500,0,0,,0,3,.000,6,3,9,1,2,0,2,3,8,7.4,
28,28,1994-01-26,8540,LAL,H,IND,W (+4),1,41:00,6,13,.462,0,0,,7,8,.875,7,2,9,1,4,0,2,4,19,18.5,
29,29,1994-01-28,8542,LAL,H,DET,W (+8),1,42:00,8,13,.615,0,0,,4,10,.400,10,8,18,5,3,1,1,3,20,26.1,
30,30,1994-02-01,8546,LAL,A,SAS,L (-15),1,41:00,6,14,.429,0,1,.000,2,4,.500,3,6,9,3,3,0,2,3,14,11.6,
31,31,1994-02-03,8548,LAL,A,HOU,L (-11),1,44:00,6,14,.429,0,0,,2,4,.500,9,3,12,2,5,0,4,4,14,13.8,
32,32,1994-02-04,8549,LAL,A,DAL,W (+8),1,41:00,10,19,.526,0,0,,6,7,.857,5,1,6,2,4,0,4,4,26,19.9,
33,33,1994-02-06,8551,LAL,H,UTA,W (+17),1,39:00,5,8,.625,0,0,,3,4,.750,5,7,12,3,1,0,2,3,13,14.5,
34,34,1994-02-08,8553,LAL,H,PHO,W (+3),1,41:00,8,13,.615,0,0,,3,4,.750,1,1,2,0,5,0,1,5,19,15.7,
35,35,1994-02-09,8554,LAL,A,UTA,W (+7),1,38:00,8,12,.667,0,0,,2,2,1.000,7,5,12,2,1,0,3,3,18,17.4,
36,36,1994-02-10,8555,LAL,H,SAC,L (-19),1,37:00,5,11,.455,0,0,,3,4,.750,7,9,16,1,3,1,2,4,13,15.3,
37,37,1994-02-15,8560,LAL,H,LAC,L (-11),1,43:00,4,13,.308,0,1,.000,3,6,.500,5,5,10,1,2,2,2,2,11,8.6,
38,38,1994-02-18,8563,LAL,A,PHO,L (-17),1,39:00,9,14,.643,0,0,,5,6,.833,2,4,6,4,4,0,1,3,23,23.6,
39,39,1994-02-20,8565,LAL,H,PHI,W (+12),1,35:00,7,11,.636,0,0,,0,0,,3,1,4,1,3,0,2,4,14,11.6,
40,40,1994-02-24,8569,LAL,A,SAC,L (-12),1,39:00,5,11,.455,0,0,,3,3,1.000,2,5,7,0,0,0,3,3,13,6.0,
41,41,1994-02-25,8570,LAL,H,SAS,L (-16),1,43:00,7,15,.467,0,0,,1,2,.500,3,3,6,1,4,2,1,4,15,13.4,
42,42,1994-02-27,8572,LAL,H,BOS,W (+3),1,37:00,5,7,.714,0,0,,2,3,.667,3,3,6,3,2,0,2,4,12,12.2,
43,43,1994-03-02,8575,LAL,A,CHI,W (+8),1,34:00,5,12,.417,0,0,,0,0,,8,2,10,0,4,0,0,3,10,12.6,
44,44,1994-03-04,8577,LAL,A,BOS,L (-10),1,39:00,2,12,.167,0,1,.000,0,1,.000,4,3,7,1,0,0,4,4,4,-5.2,
45,45,1994-03-05,8578,LAL,A,WSB,L (-6),1,29:00,5,8,.625,0,0,,0,0,,4,1,5,4,1,0,1,4,10,10.7,
46,46,1994-03-07,8580,LAL,A,MIL,W (+22),1,38:00,5,12,.417,0,0,,1,2,.500,1,2,3,2,5,2,1,1,11,11.9,
47,47,1994-03-10,8583,LAL,H,DAL,W (+5),1,31:00,4,8,.500,0,0,,0,0,,2,4,6,2,1,0,5,2,8,3.2,
48,48,1994-03-13,8586,LAL,A,MIN,W (+2),1,36:00,4,10,.400,0,1,.000,4,6,.667,3,3,6,0,2,0,0,3,12,9.6,
49,49,1994-03-14,8587,LAL,A,UTA,L (-1),1,23:00,2,9,.222,0,0,,0,2,.000,4,2,6,0,0,1,0,4,4,0.2,
50,50,1994-03-16,8589,LAL,H,WSB,W (+35),1,31:00,6,16,.375,0,0,,3,4,.750,7,3,10,5,2,2,2,3,15,15.3,
