Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2019-10-23,19-270,CLE,@,ORL,L (-9),1,31:32,3,9,.333,2,4,.500,0,0,,1,1,2,5,1,0,3,0,8,5.4,-7
2,2,2019-10-26,19-273,CLE,,IND,W (+11),1,29:23,5,12,.417,2,5,.400,0,0,,1,0,1,4,1,0,4,2,12,5.3,0
3,3,2019-10-28,19-275,CLE,@,MIL,L (-17),1,23:02,4,11,.364,1,5,.200,0,0,,0,1,1,2,0,0,2,3,9,1.4,-11
4,4,2019-10-30,19-277,CLE,,CHI,W (+6),1,25:17,4,11,.364,1,4,.250,0,0,,0,1,1,3,0,0,4,3,9,0.1,+1
5,5,2019-11-01,19-279,CLE,@,IND,L (-7),1,25:31,0,10,.000,0,2,.000,2,4,.500,0,1,1,3,0,0,0,0,2,-3.4,+2
6,6,2019-11-03,19-281,CLE,,DAL,L (-20),1,26:26,3,8,.375,1,4,.250,2,2,1.000,0,1,1,5,2,0,2,0,9,8.4,-11
7,7,2019-11-05,19-283,CLE,,BOS,L (-6),1,28:04,2,11,.182,0,3,.000,0,0,,0,3,3,1,1,0,2,1,4,-2.7,-5
8,8,2019-11-08,19-286,CLE,@,WAS,W (+13),1,31:46,6,11,.545,1,2,.500,2,2,1.000,1,1,2,6,2,0,2,1,15,14.5,+13
9,9,2019-11-10,19-288,CLE,@,NYK,W (+21),1,34:07,3,8,.375,0,1,.000,6,6,1.000,0,3,3,6,1,0,4,0,12,9.7,+26
10,10,2019-11-12,19-290,CLE,@,PHI,L (-1),1,28:16,3,10,.300,0,2,.000,0,0,,0,3,3,2,3,0,0,2,6,4.7,-1
11,11,2019-11-14,19-292,CLE,,MIA,L (-11),1,24:41,4,10,.400,3,7,.429,0,0,,0,1,1,2,1,0,2,1,11,5.9,-16
12,12,2019-11-17,19-295,CLE,,PHI,L (-19),1,24:48,4,13,.308,1,3,.333,2,2,1.000,0,0,0,2,2,0,2,2,11,4.1,-14
13,13,2019-11-18,19-296,CLE,@,NYK,L (-18),1,29:23,4,9,.444,2,5,.400,0,2,.000,0,2,2,2,0,0,2,3,10,3.3,-27
14,14,2019-11-20,19-298,CLE,@,MIA,L (-24),1,24:31,4,12,.333,2,7,.286,0,0,,0,0,0,3,1,0,4,1,10,1.9,-13
15,15,2019-11-22,19-300,CLE,@,DAL,L (-42),1,33:31,9,16,.563,5,8,.625,0,0,,0,1,1,4,0,0,2,0,23,16.5,-17
16,16,2019-11-23,19-301,CLE,,POR,W (+6),1,26:36,3,12,.250,1,6,.167,2,2,1.000,1,1,2,1,1,0,1,3,9,2.3,-3
17,17,2019-11-25,19-303,CLE,,BRK,L (-2),1,22:03,4,10,.400,3,5,.600,0,0,,0,3,3,1,0,0,5,0,11,2.2,-4
18,18,2019-11-27,19-305,CLE,,ORL,L (-12),1,31:23,5,8,.625,2,4,.500,4,4,1.000,0,1,1,1,0,0,8,3,16,4.2,-12
19,19,2019-11-29,19-307,CLE,,MIL,L (-9),1,35:15,8,14,.571,5,7,.714,0,0,,0,1,1,6,0,0,1,0,21,17.9,-3
20,20,2019-12-03,19-311,CLE,,DET,L (-33),1,27:49,3,9,.333,0,2,.000,1,1,1.000,0,1,1,0,0,0,1,1,7,0.8,-15
21,21,2019-12-06,19-314,CLE,,ORL,L (-6),1,30:06,3,8,.375,1,5,.200,2,2,1.000,0,5,5,1,0,0,2,3,9,3.6,+9
22,22,2019-12-07,19-315,CLE,@,PHI,L (-47),1,30:35,7,20,.350,3,9,.333,0,0,,3,2,5,3,0,0,2,2,17,7.8,-32
23,23,2019-12-09,19-317,CLE,@,BOS,L (-22),1,24:11,4,11,.364,1,3,.333,0,0,,1,1,2,2,0,0,2,2,9,2.5,-31
24,24,2019-12-11,19-319,CLE,,HOU,L (-6),1,22:01,4,8,.500,3,6,.500,0,0,,0,1,1,1,0,0,2,1,11,5.6,-12
25,25,2019-12-12,19-320,CLE,@,SAS,W (+8),1,25:05,3,8,.375,2,6,.333,0,0,,2,1,3,5,0,0,5,0,8,3.8,+4
26,26,2019-12-14,19-322,CLE,@,MIL,L (-17),1,30:09,4,11,.364,2,5,.400,0,0,,1,3,4,5,0,0,3,0,10,6.0,0
27,27,2019-12-16,19-324,CLE,@,TOR,L (-20),1,37:47,7,14,.500,4,8,.500,2,2,1.000,0,2,2,5,2,0,1,1,20,17.7,-16
28,28,2019-12-18,19-326,CLE,,CHO,W (+2),1,27:08,3,10,.300,1,7,.143,0,0,,0,1,1,6,0,0,3,2,7,1.9,+6
29,29,2019-12-20,19-328,CLE,,MEM,W (+7),1,29:00,4,10,.400,2,5,.400,4,4,1.000,2,3,5,2,1,0,1,1,14,11.9,+1
30,30,2019-12-23,19-331,CLE,,ATL,W (+3),1,26:11,9,14,.643,3,5,.600,0,0,,0,1,1,1,0,0,2,3,21,12.6,-1
31,31,2019-12-27,19-335,CLE,@,BOS,L (-12),1,27:43,1,7,.143,0,2,.000,0,0,,0,4,4,0,1,0,4,2,2,-5.1,-21
32,32,2019-12-28,19-336,CLE,@,MIN,W (+6),1,28:51,8,11,.727,2,4,.500,0,1,.000,1,1,2,3,2,0,5,5,18,11.2,+11
33,33,2019-12-31,19-339,CLE,@,TOR,L (-20),1,34:13,5,11,.455,2,7,.286,0,0,,0,1,1,4,1,0,1,2,12,8.6,-14
34,34,2020-01-02,19-341,CLE,,CHO,L (-3),1,34:07,5,12,.417,3,9,.333,1,2,.500,1,4,5,8,1,0,1,0,14,14.7,+17
35,35,2020-01-04,19-343,CLE,,OKC,L (-15),1,34:48,6,13,.462,3,7,.429,5,6,.833,0,1,1,7,1,0,3,2,20,15.3,-9
36,36,2020-01-05,19-344,CLE,,MIN,L (-15),1,35:19,4,12,.333,2,5,.400,4,4,1.000,0,0,0,2,0,0,2,1,14,6.2,-10
37,37,2020-01-07,19-346,CLE,,DET,L (-2),1,35:39,4,12,.333,2,5,.400,4,4,1.000,2,2,4,3,2,0,2,2,14,10.5,+1
38,38,2020-01-09,19-348,CLE,@,DET,W (+3),1,41:28,8,14,.571,2,4,.500,2,2,1.000,0,2,2,7,0,0,3,0,20,15.9,-1
