Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1997-11-11,23-008,SAC,@,MIA,L (-19),0,9:57,1,3,.333,0,0,,0,0,,0,0,0,0,0,0,1,0,2,-0.7,-8
2,2,1997-11-12,23-009,SAC,@,ORL,W (+26),0,4:20,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2
3,3,1997-11-14,23-011,SAC,@,ATL,L (-1),0,3:04,2,2,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,4,3.4,-1
4,4,1997-11-15,23-012,SAC,@,NYK,L (-27),0,5:22,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-3.2,-13
5,5,1997-11-18,23-015,SAC,,DAL,W (+7),0,10:41,2,6,.333,0,0,,1,2,.500,3,1,4,0,0,0,2,2,5,0.8,+6
7,6,1997-11-23,23-020,SAC,,CHI,L (-15),0,9:28,2,3,.667,0,0,,0,0,,1,0,1,1,0,0,2,1,4,1.7,-8
8,7,1997-11-25,23-022,SAC,,DEN,W (+4),0,5:11,1,1,1.000,0,0,,0,1,.000,0,0,0,0,0,0,0,0,2,1.3,-4
10,8,1997-11-28,23-025,SAC,@,SEA,L (-17),0,8:02,0,3,.000,0,0,,0,0,,1,0,1,0,1,0,0,0,0,-0.4,-3
11,9,1997-11-30,23-027,SAC,,NJN,L (-14),0,19:37,5,9,.556,0,0,,2,4,.500,0,1,1,1,1,1,1,1,12,8.2,-1
13,10,1997-12-04,23-031,SAC,@,WAS,L (-22),0,24:00,2,10,.200,0,1,.000,2,2,1.000,1,0,1,1,0,0,0,0,6,1.2,-2
14,11,1997-12-05,23-032,SAC,@,MIN,L (-11),0,5:02,1,3,.333,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-0.1,+1
16,12,1997-12-09,23-036,SAC,,UTA,W (+12),0,4:40,0,3,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2.5,-2
20,13,1997-12-19,23-046,SAC,@,HOU,L (-18),0,5:28,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-4
21,14,1997-12-20,23-047,SAC,@,DAL,W (+1),1,27:19,4,12,.333,0,3,.000,2,2,1.000,2,4,6,2,0,1,1,3,10,5.7,+7
22,15,1997-12-22,23-049,SAC,,MIN,W (+10),0,15:03,3,6,.500,0,0,,0,0,,0,2,2,0,1,0,1,3,6,2.4,+3
23,16,1997-12-23,23-050,SAC,@,POR,L (-11),0,3:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-2
26,17,1997-12-30,23-057,SAC,@,LAL,L (-13),1,27:46,9,13,.692,0,0,,1,1,1.000,1,2,3,0,3,0,5,1,19,12.4,-5
27,18,1998-01-02,23-060,SAC,,VAN,W (+14),1,25:04,5,9,.556,0,1,.000,3,4,.750,1,2,3,2,1,1,1,3,13,10.5,+9
28,19,1998-01-04,23-062,SAC,,CHH,W (+16),1,19:51,4,10,.400,0,0,,2,6,.333,1,1,2,2,1,0,0,4,10,4.8,+20
29,20,1998-01-06,23-064,SAC,,LAC,W (+16),0,14:59,2,7,.286,0,0,,0,0,,0,4,4,2,1,0,1,4,4,0.9,-3
31,21,1998-01-10,23-068,SAC,@,SAS,L (-42),0,12:00,1,5,.200,0,1,.000,0,0,,0,2,2,1,0,0,1,0,2,-0.8,-12
32,22,1998-01-12,23-070,SAC,,PHO,W (+6),0,24:23,4,10,.400,0,0,,0,4,.000,2,0,2,1,3,1,0,3,8,5.6,+20
33,23,1998-01-14,23-072,SAC,,ORL,W (+12),0,23:06,6,10,.600,0,0,,8,10,.800,1,3,4,1,1,0,1,0,20,16.9,+13
34,24,1998-01-16,23-074,SAC,@,IND,L (-25),0,20:42,3,7,.429,0,0,,0,0,,1,0,1,1,0,0,2,2,6,0.9,-11
35,25,1998-01-19,23-077,SAC,@,PHI,L (-13),0,4:13,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,1,0,0,-0.7,-5
36,26,1998-01-21,23-079,SAC,@,TOR,L (-1),0,8:59,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.8,+13
39,27,1998-01-26,23-084,SAC,,SEA,W (+19),0,7:28,0,1,.000,0,0,,2,2,1.000,1,2,3,0,0,0,2,1,2,0.2,-8
40,28,1998-01-30,23-088,SAC,,TOR,W (+26),0,9:59,3,6,.500,0,0,,2,2,1.000,1,0,1,0,0,0,1,0,8,4.7,-5
41,29,1998-02-01,23-090,SAC,,SAS,L (-6),0,14:57,3,8,.375,0,0,,2,2,1.000,0,1,1,0,1,0,0,0,8,4.9,-8
42,30,1998-02-03,23-092,SAC,,IND,L (-22),0,10:15,2,5,.400,0,0,,0,0,,0,1,1,0,0,0,2,0,4,-0.4,-13
43,31,1998-02-04,23-093,SAC,@,DEN,W (+2),0,5:22,0,1,.000,0,0,,0,0,,1,0,1,1,0,0,0,3,0,-0.5,+2
44,32,1998-02-10,23-099,SAC,@,PHO,L (-2),0,1:47,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,0
49,33,1998-02-20,23-109,SAC,,MIA,L (-14),0,21:48,5,9,.556,0,0,,2,4,.500,2,1,3,0,1,2,2,0,12,9.0,-2
50,34,1998-02-22,23-111,SAC,@,MIN,L (-18),0,16:13,1,5,.200,0,0,,2,4,.500,0,1,1,2,1,0,1,2,4,1.0,-5
51,35,1998-02-23,23-112,SAC,@,DET,L (-26),0,20:01,2,8,.250,0,0,,3,4,.750,2,1,3,2,1,0,1,3,7,3.7,-7
54,36,1998-02-28,23-117,SAC,@,CHI,L (-15),0,5:27,3,4,.750,0,0,,0,0,,1,2,3,0,0,0,0,0,6,5.7,0
