Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1986-11-01,24-084,CLE,,WSB,W (+7),1,39:00,8,11,.727,0,0,,6,7,.857,2,5,7,3,1,1,2,4,22,20.2
2,2,1986-11-02,24-085,CLE,,CHI,L (-5),1,32:00,5,13,.385,0,0,,3,5,.600,3,5,8,2,0,2,2,2,13,8.7
3,3,1986-11-05,24-088,CLE,@,UTA,L (-16),1,29:00,3,8,.375,0,0,,6,9,.667,3,1,4,0,3,3,3,4,12,9.3
4,4,1986-11-07,24-090,CLE,@,GSW,W (+1),1,26:00,2,7,.286,0,0,,0,0,,1,5,6,4,1,0,0,2,4,5.1
5,5,1986-11-08,24-091,CLE,@,LAC,W (+7),1,29:00,7,13,.538,0,0,,0,0,,0,8,8,1,0,0,1,5,14,7.8
6,6,1986-11-11,24-094,CLE,@,SAC,L (-5),1,39:00,6,15,.400,0,0,,7,8,.875,1,5,6,1,0,5,4,3,19,11.7
7,7,1986-11-13,24-096,CLE,@,SAS,L (-13),1,36:00,7,12,.583,0,0,,4,6,.667,2,6,8,1,0,2,2,2,18,14.1
8,8,1986-11-15,24-098,CLE,@,DAL,L (-15),1,23:00,2,7,.286,0,0,,0,0,,2,3,5,2,0,0,1,2,4,1.8
9,9,1986-11-16,24-099,CLE,@,HOU,L (-28),1,27:00,8,12,.667,0,0,,3,3,1.000,1,4,5,1,0,0,2,2,19,13.6
10,10,1986-11-19,24-102,CLE,,GSW,L (-8),1,42:00,7,16,.438,0,0,,5,6,.833,9,3,12,1,1,3,3,0,19,18.2
11,11,1986-11-20,24-103,CLE,@,ATL,L (-19),1,40:00,6,15,.400,0,0,,1,2,.500,6,5,11,4,2,1,2,3,13,12.5
12,12,1986-11-22,24-105,CLE,@,DET,L (-9),1,41:00,7,15,.467,0,0,,2,4,.500,5,7,12,3,1,4,1,2,16,17.2
13,13,1986-11-26,24-109,CLE,,POR,W (+4),1,38:00,8,14,.571,0,0,,4,6,.667,1,9,10,3,0,2,3,2,20,15.7
14,14,1986-11-29,24-112,CLE,@,NYK,W (+2),1,42:00,11,18,.611,0,0,,4,7,.571,7,10,17,2,1,4,2,5,26,25.7
15,15,1986-12-02,24-115,CLE,,SAS,W (+10),1,37:00,6,15,.400,0,0,,4,4,1.000,1,3,4,5,0,3,3,0,16,12.1
16,16,1986-12-04,24-117,CLE,,DET,W (+8),1,43:00,9,21,.429,0,0,,4,5,.800,7,11,18,3,0,4,4,2,22,18.8
17,17,1986-12-06,24-119,CLE,,BOS,W (+2),1,41:00,10,16,.625,0,0,,6,8,.750,2,7,9,2,2,3,2,2,26,24.2
18,18,1986-12-09,24-122,CLE,,ATL,L (-24),1,22:00,2,10,.200,0,0,,6,8,.750,0,3,3,1,1,1,1,1,10,4.9
19,19,1986-12-13,24-126,CLE,,PHI,W (+3),1,40:00,6,14,.429,0,0,,4,5,.800,3,6,9,2,1,6,1,1,16,17.3
20,20,1986-12-16,24-129,CLE,,LAL,L (-5),1,42:00,11,15,.733,0,0,,0,0,,2,5,7,2,3,1,2,0,22,21.9
21,21,1986-12-17,24-130,CLE,@,PHI,W (+3),1,37:00,8,14,.571,0,0,,2,2,1.000,1,3,4,3,0,2,3,2,18,12.7
22,22,1986-12-19,24-132,CLE,,UTA,L (-6),1,52:00,7,19,.368,0,1,.000,6,9,.667,7,9,16,5,0,3,2,4,20,17.9
