,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,1,1989-11-03,23-066,PHO,,GSW,W (+30),0,11:00,1,4,0.25,1,1,1.0,0,0,,0,0,0,3,1,0,3,1,3,0.3,
1,2,2,1989-11-04,23-067,PHO,@,DEN,L (-3),0,6:00,1,3,0.333,0,1,0.0,0,0,,0,0,0,1,0,0,1,0,2,0.0,
2,3,3,1989-11-07,23-070,PHO,@,LAL,L (-4),0,13:00,4,7,0.571,0,0,,4,6,0.667,0,1,1,3,1,0,0,1,12,10.9,
3,4,4,1989-11-10,23-073,PHO,,SAC,W (+21),0,13:00,0,3,0.0,0,0,,0,2,0.0,1,0,1,4,1,0,3,1,0,-1.8,
4,5,5,1989-11-15,23-078,PHO,,POR,W (+2),0,14:00,1,2,0.5,0,0,,1,2,0.5,0,1,1,7,1,0,3,4,3,3.2,
5,6,6,1989-11-17,23-080,PHO,@,POR,L (-1),0,8:00,1,3,0.333,0,0,,0,0,,0,1,1,2,0,0,0,1,2,1.6,
6,7,7,1989-11-18,23-081,PHO,,WSB,W (+11),0,25:00,5,11,0.455,0,0,,4,5,0.8,0,2,2,5,1,0,5,0,14,8.0,
7,8,8,1989-11-21,23-084,PHO,@,SAS,L (-9),1,35:00,4,13,0.308,0,3,0.0,0,0,,1,4,5,14,1,0,4,4,8,7.6,
8,9,9,1989-11-22,23-085,PHO,,CHI,L (-5),1,18:00,1,5,0.2,0,0,,0,0,,0,1,1,3,0,0,3,1,2,-2.1,
9,10,10,1989-11-24,23-087,PHO,,ORL,W (+27),0,12:00,2,4,0.5,0,0,,0,0,,0,1,1,1,0,0,1,0,4,2.0,
10,11,11,1989-12-01,23-094,PHO,,LAC,W (+21),0,3:00,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,
11,12,12,1989-12-07,23-100,PHO,@,LAL,L (-4),0,13:00,1,1,1.0,0,0,,0,0,,0,0,0,3,1,0,2,2,2,2.0,
12,13,13,1989-12-08,23-101,PHO,,MIL,W (+25),0,28:00,3,6,0.5,0,0,,2,2,1.0,0,4,4,5,0,0,4,3,8,4.5,
13,14,14,1989-12-12,23-105,PHO,@,HOU,L (-22),0,34:00,5,14,0.357,0,0,,0,0,,0,1,1,6,5,0,4,1,10,7.3,
14,15,15,1989-12-13,23-106,PHO,@,UTA,L (-7),0,11:00,2,6,0.333,0,1,0.0,0,0,,0,0,0,2,0,0,3,2,4,-1.8,
15,16,16,1989-12-15,23-108,PHO,,HOU,W (+25),0,5:00,1,2,0.5,0,0,,0,0,,0,1,1,1,1,0,0,0,2,3.0,
16,17,17,1989-12-17,23-110,PHO,@,SAC,W (+12),0,16:00,1,6,0.167,0,1,0.0,0,0,,1,0,1,3,0,0,1,0,2,0.0,
17,18,18,1989-12-26,23-119,PHO,,POR,W (+16),0,8:00,0,1,0.0,0,0,,1,2,0.5,0,1,1,2,0,0,2,0,1,-0.4,
18,19,19,1989-12-29,23-122,PHO,@,MIN,W (+17),0,2:00,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,1.0,
