Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
7,1,2012-01-07,22-337,PHI,,TOR,W (+35),0,4:32,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-0.1,+6
9,2,2012-01-10,22-340,PHI,,SAC,W (+27),0,4:40,2,2,1.000,0,0,,1,2,.500,0,0,0,0,2,0,0,0,5,6.0,-4
16,3,2012-01-21,22-351,PHI,@,MIA,L (-21),0,9:04,1,4,.250,0,0,,0,0,,0,1,1,1,0,0,0,0,2,0.6,-2
17,4,2012-01-23,22-353,PHI,,WAS,W (+20),0,17:26,5,5,1.000,0,0,,0,0,,1,5,6,1,0,1,0,2,10,11.3,+2
18,5,2012-01-25,22-355,PHI,,NJN,L (-7),0,17:38,2,5,.400,0,0,,2,2,1.000,1,1,2,0,1,0,0,1,6,4.9,-1
19,6,2012-01-27,22-357,PHI,,CHA,W (+17),0,28:22,4,7,.571,0,0,,0,0,,5,2,7,1,0,0,1,2,8,7.7,+5
20,7,2012-01-28,22-358,PHI,,DET,W (+21),0,23:51,3,6,.500,0,0,,1,1,1.000,0,4,4,2,0,1,0,4,7,5.7,+26
21,8,2012-01-30,22-360,PHI,,ORL,W (+5),0,16:46,0,4,.000,0,0,,0,0,,3,2,5,3,0,0,1,4,0,-0.6,+7
22,9,2012-02-01,22-362,PHI,,CHI,W (+16),0,26:29,7,10,.700,0,0,,1,2,.500,1,5,6,3,2,0,1,2,15,14.9,+16
23,10,2012-02-03,22-364,PHI,,MIA,L (-20),0,18:38,3,4,.750,0,0,,2,2,1.000,2,3,5,0,1,0,1,4,8,7.1,-15
24,11,2012-02-04,23-000,PHI,@,ATL,W (+11),1,11:56,2,2,1.000,0,0,,0,0,,2,2,4,0,0,0,0,4,4,3.8,+7
25,12,2012-02-06,23-002,PHI,,LAL,W (+5),1,14:07,2,5,.400,0,0,,0,0,,1,3,4,3,0,0,0,2,4,4.2,+7
26,13,2012-02-08,23-004,PHI,,SAS,L (-10),0,18:50,1,7,.143,0,0,,0,0,,4,5,9,0,1,3,0,4,2,3.3,-9
27,14,2012-02-10,23-006,PHI,,LAC,L (-1),0,26:21,2,5,.400,0,0,,1,2,.500,1,7,8,0,0,0,1,3,5,2.5,+8
28,15,2012-02-11,23-007,PHI,@,CLE,W (+15),1,13:04,0,3,.000,0,0,,0,0,,1,4,5,1,0,0,0,1,0,0.1,-6
29,16,2012-02-13,23-009,PHI,@,CHA,W (+9),1,16:10,1,2,.500,0,0,,0,0,,1,0,1,3,0,1,0,3,2,3.3,+5
30,17,2012-02-15,23-011,PHI,@,ORL,L (-16),1,13:08,1,3,.333,0,0,,0,0,,1,4,5,0,0,0,0,1,2,1.8,-9
31,18,2012-02-17,23-013,PHI,,DAL,L (-7),1,19:43,4,8,.500,0,0,,0,0,,2,8,10,2,0,0,1,3,8,7.0,-11
32,19,2012-02-19,23-015,PHI,@,MIN,L (-1),1,20:40,3,6,.500,0,0,,0,0,,2,6,8,0,0,1,1,3,6,4.7,+1
33,20,2012-02-21,23-017,PHI,@,MEM,L (-13),1,28:50,7,12,.583,0,0,,0,0,,2,3,5,2,1,2,2,3,14,11.3,-5
34,21,2012-02-22,23-018,PHI,@,HOU,L (-6),1,17:02,2,5,.400,0,0,,0,0,,1,5,6,1,2,0,1,3,4,4.0,-3
35,22,2012-02-28,23-024,PHI,@,DET,W (+29),1,17:26,3,5,.600,0,0,,0,0,,2,2,4,1,1,0,1,3,6,5.2,+8
36,23,2012-02-29,23-025,PHI,,OKC,L (-4),1,19:23,0,3,.000,0,0,,0,0,,0,2,2,1,0,0,2,2,0,-3.6,-1
37,24,2012-03-02,23-027,PHI,,GSW,W (+22),1,20:13,5,7,.714,0,0,,0,0,,0,7,7,1,0,1,3,0,10,7.6,+6
38,25,2012-03-04,23-029,PHI,,CHI,L (-5),1,12:44,1,4,.250,0,0,,0,0,,0,2,2,0,0,1,1,1,2,-0.5,-5
39,26,2012-03-05,23-030,PHI,@,MIL,L (-4),0,6:59,1,4,.250,0,0,,0,0,,2,1,3,0,0,2,0,0,2,2.7,+3
40,27,2012-03-07,23-032,PHI,,BOS,W (+32),0,21:16,1,2,.500,0,0,,0,0,,2,4,6,0,1,0,0,1,2,4.2,+15
41,28,2012-03-09,23-034,PHI,,UTA,W (+13),0,0:49,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0.3,-2
43,29,2012-03-14,23-039,PHI,@,IND,L (-17),0,3:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-2
44,30,2012-03-16,23-041,PHI,,MIA,L (-6),0,12:07,2,2,1.000,0,0,,0,0,,0,4,4,1,0,1,0,2,4,5.2,+3
46,31,2012-03-19,23-044,PHI,@,CHA,W (+25),0,1:55,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,+1
50,32,2012-03-27,23-052,PHI,,CLE,W (+18),0,2:23,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,0.6,0
51,33,2012-03-30,23-055,PHI,@,WAS,L (-21),0,3:46,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,2.0,-6
54,34,2012-04-04,23-060,PHI,,TOR,L (-21),0,3:05,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.7,-7
56,35,2012-04-08,23-064,PHI,@,BOS,L (-24),0,12:34,2,5,.400,0,0,,0,0,,0,3,3,0,0,0,0,0,4,2.2,-3
57,36,2012-04-10,23-066,PHI,@,NJN,W (+19),0,2:19,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0,-2
62,37,2012-04-18,23-074,PHI,@,CLE,W (+16),0,29:06,2,5,.400,0,0,,0,0,,2,3,5,5,0,1,1,4,4,5.2,+3
63,38,2012-04-21,23-077,PHI,@,IND,W (+3),0,8:22,0,2,.000,0,0,,0,0,,0,2,2,0,0,1,1,4,0,-2.7,+7
64,39,2012-04-23,23-079,PHI,@,NJN,W (+18),0,19:44,4,5,.800,0,0,,1,1,1.000,0,4,4,1,0,0,0,3,9,7.8,+5
65,40,2012-04-25,23-081,PHI,@,MIL,W (+5),1,28:24,2,6,.333,0,0,,0,0,,5,7,12,1,1,1,0,1,4,8.2,+5
66,41,2012-04-26,23-082,PHI,@,DET,L (-22),1,30:48,2,6,.333,0,0,,2,2,1.000,3,6,9,0,0,1,0,3,6,6.0,-6
1,1,2012-10-31,23-270,PHI,,DEN,W (+9),1,16:58,1,5,.200,0,0,,1,2,.500,4,0,4,0,0,1,1,0,3,2.0,-1
2,2,2012-11-04,23-274,PHI,@,NYK,L (-16),1,25:45,3,4,.750,0,0,,0,0,,1,4,5,1,0,1,1,1,6,6.3,-9
