Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,1981-11-08,23-009,POR,,DEN,W (+4),0,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-1.4,
2,2,1981-11-10,23-011,POR,,DAL,W (+22),0,11:00,1,2,0.5,0,0,,2,3,0.667,1,1,2,0,1,0,2,2,4,1.8,
3,3,1981-11-12,23-013,POR,@,SDC,L (-7),0,3:00,0,1,0.0,0,0,,0,0,,0,0,0,1,0,1,1,2,0,-1.1,
4,4,1981-11-13,23-014,POR,@,LAL,L (-4),0,13:00,2,2,1.0,0,0,,2,2,1.0,1,0,1,0,0,0,1,5,6,3.1,
5,5,1981-11-15,23-016,POR,,SAS,L (-5),0,8:00,0,2,0.0,0,0,,0,0,,0,1,1,0,0,1,0,2,0,-1.2,
6,6,1981-11-20,23-021,POR,,NJN,W (+20),0,11:00,0,3,0.0,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-2.2,
7,7,1981-11-25,23-026,POR,@,SEA,L (-7),0,27:00,3,5,0.6,0,0,,0,2,0.0,1,3,4,1,0,0,3,3,6,1.0,
8,8,1981-11-27,23-028,POR,@,UTA,W (+10),0,6:00,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-1.5,
9,9,1981-11-29,23-030,POR,,CHI,W (+5),0,25:00,5,9,0.556,0,0,,2,7,0.286,5,4,9,1,0,1,2,4,12,8.2,
10,10,1981-12-01,23-032,POR,@,DEN,W (+8),0,11:00,0,1,0.0,0,0,,0,0,,1,3,4,2,1,1,2,1,0,1.6,
11,11,1981-12-02,23-033,POR,@,KCK,W (+5),0,4:00,0,0,,0,0,,0,0,,1,0,1,0,0,0,1,0,0,-0.3,
12,12,1981-12-04,23-035,POR,@,SAS,L (-16),0,16:00,1,1,1.0,0,0,,2,2,1.0,2,2,4,1,1,1,0,3,4,6.9,
13,13,1981-12-05,23-036,POR,@,HOU,L (-12),0,11:00,1,3,0.333,0,0,,4,4,1.0,0,1,1,0,0,0,0,3,6,3.4,
14,14,1981-12-08,23-039,POR,,GSW,L (-14),0,9:00,1,1,1.0,0,0,,1,2,0.5,1,0,1,1,0,1,1,2,3,2.6,
15,15,1981-12-10,23-041,POR,@,PHO,L (-7),0,7:00,0,2,0.0,0,0,,0,0,,1,1,2,0,0,0,1,1,0,-1.8,
16,16,1981-12-11,23-042,POR,@,LAL,L (-8),0,1:00,0,1,0.0,0,0,,0,0,,0,1,1,1,0,1,1,1,0,-0.4,
17,17,1981-12-15,23-046,POR,,SDC,W (+17),0,26:00,4,8,0.5,0,0,,2,2,1.0,5,7,12,1,0,2,4,5,10,7.7,
18,18,1981-12-19,23-050,POR,@,DAL,L (-7),0,17:00,2,3,0.667,0,0,,0,0,,1,1,2,3,0,0,0,3,4,4.6,
19,19,1981-12-22,23-053,POR,,LAL,L (-14),0,4:00,0,0,,0,0,,0,0,,0,3,3,0,0,0,1,0,0,-0.1,
20,20,1982-01-03,23-065,POR,,KCK,W (+11),0,7:00,0,1,0.0,0,0,,0,0,,0,0,0,2,0,0,0,0,0,0.7,
21,21,1982-01-05,23-067,POR,,SAS,W (+5),0,10:00,1,2,0.5,0,0,,0,0,,1,2,3,1,0,2,1,2,2,2.6,
22,22,1982-01-08,23-070,POR,,DEN,L (-3),0,5:00,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,0,2,0,-0.8,
23,23,1982-01-10,23-072,POR,,HOU,L (-2),0,19:00,2,5,0.4,0,0,,0,0,,2,4,6,4,0,0,3,4,4,2.1,
24,24,1982-01-12,23-074,POR,,IND,W (+12),0,10:00,0,1,0.0,0,0,,2,2,1.0,1,2,3,1,1,1,0,2,2,4.2,
25,25,1982-01-14,23-076,POR,@,HOU,W (+11),0,2:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,3,0,-0.9,
26,26,1982-01-16,23-078,POR,@,DAL,W (+7),0,6:00,1,2,0.5,0,0,,0,0,,0,1,1,0,0,2,1,1,2,1.3,
27,27,1982-01-19,23-081,POR,@,ATL,L (-11),0,20:00,3,3,1.0,1,1,1.0,1,2,0.5,0,2,2,1,0,0,0,2,8,7.2,
28,28,1982-01-20,23-082,POR,@,PHI,L (-5),0,6:00,0,0,,0,0,,0,0,,0,2,2,2,0,0,0,1,0,1.6,
29,29,1982-01-22,23-084,POR,@,WSB,L (-13),0,21:00,1,1,1.0,0,0,,0,0,,1,3,4,2,0,0,1,4,2,2.1,
30,30,1982-01-24,23-086,POR,@,BOS,W (+4),0,20:00,1,2,0.5,0,0,,0,0,,1,7,8,2,0,0,1,5,2,2.2,
31,31,1982-01-28,23-090,POR,,SDC,W (+3),0,5:00,1,1,1.0,0,0,,0,0,,1,0,1,0,0,0,0,1,2,2.0,
32,32,1982-02-02,23-095,POR,,KCK,W (+5),0,20:00,0,2,0.0,0,0,,1,2,0.5,0,3,3,0,0,0,0,5,1,-1.9,
33,33,1982-02-03,23-096,POR,@,UTA,L (-4),0,27:00,3,6,0.5,0,0,,1,2,0.5,4,4,8,1,0,0,2,0,7,6.3,
34,34,1982-02-05,23-098,POR,,UTA,W (+21),0,11:00,2,4,0.5,0,0,,1,2,0.5,2,2,4,2,0,0,0,4,5,4.4,
35,35,1982-02-07,23-100,POR,,NYK,W (+2),0,11:00,2,2,1.0,0,0,,3,4,0.75,1,1,2,1,0,0,2,1,7,5.3,
36,36,1982-02-10,23-103,POR,@,CLE,W (+14),0,13:00,1,4,0.25,0,0,,0,0,,1,4,5,1,0,1,1,1,2,1.5,
37,37,1982-02-11,23-104,POR,@,MIL,L (-11),0,14:00,0,0,,0,0,,0,0,,0,2,2,1,0,1,1,3,0,-0.2,
38,38,1982-02-13,23-106,POR,@,DET,W (+8),0,8:00,1,1,1.0,0,0,,2,2,1.0,0,2,2,0,0,1,1,3,4,2.8,
39,39,1982-02-14,23-107,POR,@,IND,L (-16),0,12:00,1,3,0.333,0,0,,1,2,0.5,0,2,2,0,0,1,1,1,3,0.8,
40,40,1982-02-16,23-109,POR,,WSB,L (-3),0,4:00,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,
41,41,1982-02-19,23-112,POR,,BOS,L (-10),0,2:00,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,1,2,0,-2.2,
